Isolate_Id	Amikacin (AMI)	Meropenem (MER)	Levofloxacin	Colistin (COL or CST)	Cefepime (FEP)	Piperacillin	Polymyxin B	Fosfomycin	Chloramphenicol	Ciprofloxacin (CIP)	Ticarcillin (TIC)	Piperacillin/tazobactam (PIP/TZ)	Ceftazidime (CAZ)	Ceftolozane/tazobactam (TOL/TZ)	AztreoNAm (ATM) 	Imipenem (IMI)	Tobramycin (TOB)	Doripenem	Gentamicin
WH-SGI-V-07224	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07225	S	R	R	S	I	I	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07226	S	S	S	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07227	I	R	S	S	R	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07228	S	R	S	S	R	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07229	S	S	I	S	I	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07230	I	R	R	S	R	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07231	S	S	R	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07232	S	R	S	S	I	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07233	R	S	S	S	I	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07234	S	R	I	S	R	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07235	S	R	I	S	R	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07236	R	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07237	S	S	R	S	S	I	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07238	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07239	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07240	S	S	R	S	I	I	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07241	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07242	S	S	S	S	S	I	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07243	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07244	S	S	S	S	S	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07245	S	S	S	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07246	S	S	S	S	S	R	S	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07368	S	S	S	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07369	S	S	S	S	S	I	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07370	S	S	S	S	S	I	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07371	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07372	S	S	S	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07373	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07374	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07375	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07376	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07377	S	S	S	S	I	I	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07378	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07379	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07380	S	S	S	S	S	I	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07381	S	S	R	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07382	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07383	S	S	S	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07384	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07385	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07386	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07387	S	S	S	NA	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07388	S	S	S	NA	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07389	S	I	S	S	I	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07390	S	I	S	S	I	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07391	S	S	R	I	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07392	S	S	R	S	S	I	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07404	S	S	R	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07405	S	S	S	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07406	S	S	R	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07407	S	S	R	S	R	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07408	S	S	S	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07409	S	S	R	R	S	S	I	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07410	S	S	R	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07411	S	S	S	R	S	R	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07412	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07413	S	S	S	S	I	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07414	S	S	I	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07415	R	S	R	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07416	S	S	I	S	I	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07417	S	I	I	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07418	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07419	S	S	S	S	S	I	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07420	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07421	S	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07422	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07423	S	I	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07424	S	I	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07425	R	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07426	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07427	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07428	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07484	R	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07485	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07486	R	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07487	I	I	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07488	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07489	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07490	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07491	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07492	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07493	S	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07494	S	S	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07495	S	R	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07496	R	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07497	S	S	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07498	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07499	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07500	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07501	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07502	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07503	S	I	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07504	S	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07505	S	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07506	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07507	S	I	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07508	S	S	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07618	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07619	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07620	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07621	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07622	I	I	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07623	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07624	S	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07625	R	I	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07626	I	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07627	R	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07628	R	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07629	S	S	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07630	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07631	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07632	S	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07633	R	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07634	S	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07635	R	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07636	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07637	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07638	I	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07639	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07640	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07641	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07642	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07643	R	R	NA	NA	R	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07644	I	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07645	S	S	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07646	I	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07647	S	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07648	I	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07649	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07650	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07651	I	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07652	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07678	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07679	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07680	S	I	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07681	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07682	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07683	S	I	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07684	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07685	S	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07686	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07687	R	R	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07688	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07689	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07690	S	S	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07691	S	S	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07692	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07693	S	S	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07694	S	R	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07695	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07696	S	R	NA	NA	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07697	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07698	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07699	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07700	S	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07701	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07702	R	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07703	R	S	NA	NA	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07704	S	S	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07705	S	R	NA	NA	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07706	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07707	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07708	S	S	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07709	S	S	NA	NA	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07710	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07711	S	S	NA	NA	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07299	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07247	R	R	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07248	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07249	S	R	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07250	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07251	S	I	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07252	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07253	R	S	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07254	S	I	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07255	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07256	R	S	NA	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07258	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07259	I	S	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07260	S	R	NA	S	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07261	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07263	S	S	NA	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07265	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07266	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07267	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07268	R	R	NA	S	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07272	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07273	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07276	R	R	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07277	S	S	NA	S	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07278	S	S	NA	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07279	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07280	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07281	S	R	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07282	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07283	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07284	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07287	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07291	S	S	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07293	S	S	NA	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07294	S	S	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07295	S	R	NA	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07296	S	S	NA	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07297	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07300	S	S	NA	S	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07302	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07305	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07306	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07309	R	I	NA	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07310	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07311	S	S	NA	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07312	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07313	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07314	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
